import time: self [us] | cumulative | imported package
import time:       302 |        302 |   _io
import time:        31 |         31 |   marshal
import time:       647 |        647 |   posix
import time:       991 |       1969 | _frozen_importlib_external
import time:      1370 |       1370 |   time
import time:       324 |       1694 | zipimport
import time:        92 |         92 |     _codecs
import time:      1075 |       1166 |   codecs
import time:       981 |        981 |   encodings.aliases
import time:      2650 |       4795 | encodings
import time:       355 |        355 | encodings.utf_8
import time:        69 |         69 | _signal
import time:       121 |        121 |       _abc
import time:       168 |        288 |     abc
import time:       229 |        229 |       _stat
import time:        90 |        319 |     stat
import time:      1546 |       1546 |     _collections_abc
import time:       218 |        218 |       errno
import time:       155 |        155 |       genericpath
import time:       157 |        530 |     posixpath
import time:       783 |       3463 |   os
import time:        83 |         83 |   _sitebuiltins
import time:       449 |        449 |   encodings.utf_8_sig
import time:       460 |        460 |     __future__
import time:       388 |        388 |       importlib
import time:        84 |        471 |     importlib.machinery
import time:        27 |         27 |         _contextvars
import time:       605 |        631 |       _py_warnings
import time:       327 |        958 |     warnings
import time:       635 |        635 |       importlib._abc
import time:        27 |         27 |         _types
import time:       472 |        499 |       types
import time:       149 |       1281 |     importlib.util
import time:       101 |        101 |     itertools
import time:       388 |        388 |       io
import time:        59 |         59 |         _winapi
import time:        50 |         50 |         nt
import time:        38 |         38 |         nt
import time:        39 |         39 |         nt
import time:        35 |         35 |         nt
import time:        34 |         34 |         nt
import time:        34 |         34 |         nt
import time:        33 |         33 |         nt
import time:       266 |        584 |       ntpath
import time:        78 |         78 |         _operator
import time:       538 |        616 |       operator
import time:       289 |        289 |             keyword
import time:       320 |        320 |             reprlib
import time:        49 |         49 |             _collections
import time:       943 |       1599 |           collections
import time:        98 |         98 |             _functools
import time:       924 |       1022 |           functools
import time:       745 |       3365 |         contextlib
import time:      1415 |       1415 |           enum
import time:       155 |        155 |             _sre
import time:       454 |        454 |               re._constants
import time:       565 |       1018 |             re._parser
import time:       288 |        288 |             re._casefix
import time:       744 |       2203 |           re._compiler
import time:       295 |        295 |           copyreg
import time:       719 |       4631 |         re
import time:       523 |        523 |         fnmatch
import time:       593 |       9110 |       glob
import time:        41 |         41 |       pwd
import time:      1322 |       1322 |       grp
import time:      1043 |       1043 |         fcntl
import time:        53 |         53 |         _winapi
import time:       750 |       1845 |       pathlib._os
import time:       882 |      14783 |     pathlib
import time:      1090 |      19142 |   __editable___k8s_cost_optimizer_0_1_0_finder
import time:       922 |        922 |   sitecustomize
import time:      3689 |      27745 | site
import time:       134 |        134 | runpy
import time:       459 |        459 |     _pytest._version
import time:       292 |        751 |   _pytest
import time:      2136 |       2136 |         _ast
import time:       591 |       2727 |       ast
import time:       307 |        307 |             _weakrefset
import time:       512 |        819 |           weakref
import time:       342 |       1161 |         copy
import time:       675 |        675 |           annotationlib
import time:        32 |         32 |               _opcode
import time:       381 |        381 |               _opcode_metadata
import time:       340 |        752 |             opcode
import time:      1524 |       2276 |           dis
import time:       329 |        329 |           linecache
import time:       272 |        272 |             token
import time:        52 |         52 |             _tokenize
import time:       986 |       1308 |           tokenize
import time:      2120 |       6705 |         inspect
import time:       771 |       8636 |       dataclasses
import time:       819 |        819 |         textwrap
import time:       344 |        344 |         codeop
import time:      4768 |       4768 |         _colorize
import time:       877 |       6807 |       traceback
import time:        34 |         34 |         _typing
import time:      2389 |       2423 |       typing
import time:       394 |        394 |           pluggy._result
import time:      1042 |       1436 |         pluggy._hooks
import time:       367 |        367 |           pluggy._tracing
import time:       310 |        310 |             pluggy._warnings
import time:       324 |        633 |           pluggy._callers
import time:       584 |       1584 |         pluggy._manager
import time:       231 |        231 |         pluggy._version
import time:       464 |       3713 |       pluggy
import time:      1095 |       1095 |           _bisect
import time:       346 |       1441 |         bisect
import time:       431 |       1872 |       _pytest._code.source
import time:      1478 |       1478 |             zlib
import time:       311 |        311 |                 compression
import time:       412 |        723 |               compression._common
import time:       496 |        496 |               compression._common._streams
import time:       949 |        949 |               _bz2
import time:       456 |       2623 |             bz2
